source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
Administrator,ID,Person,ID,Administrator_ID_fkey,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
Administrator,acceptPaper,Paper,ID,FKAdministratoracceptPaper,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
Bid,adjustedBy,Person,ID,Bid_adjustedBy_fkey,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
Bid,hasBid_Inv,Paper,ID,FKBidhasBid_Inv,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
Paper,ID,Document,ID,FKPaperURI,,,734,1468,734,1468,0.5,1.0,0.5,0.6534025110862934,0.18119891008174388,734,1468,inclusion_column_source_to_target
Paper,acceptedBy,Administrator,ID,FKPaperacceptedBy,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Paper,rejectedBy,Administrator,ID,FKPaperrejectedBy,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Paper,hasAuthor,Person,ID,Paper_hasAuthor_fkey,,,162,774,162,774,0.20930232558139536,1.0,0.20930232558139536,0.2318141980718668,0.20930232558139536,367,774,inclusion_column_source_to_target
Paper,hasDecision,Acceptance,ID,Paper_hasDecision_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Paper,readByMeta-Reviewer,Person,ID,Paper_readByMeta-Reviewer_fkey,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
Person,assignedByReviewer,Person,ID,Person_CHILD_DATA_assignedByReviewer_fkey,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
ProgramCommitteeChair,ID,Person,ID,ProgramCommitteeChair_ID_fkey,,,6,774,6,774,0.007751937984496124,1.0,0.007751937984496124,0.5076923067753132,0.007751937984496124,6,774,inclusion_column_source_to_target
ProgramCommitteeChair,addedBy,Administrator,ID,ProgramCommitteeChair_addedBy_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
ProgramCommitteeMember,ID,Person,ID,ProgramCommitteeMember_ID_fkey,,,27,774,27,774,0.03488372093023256,1.0,0.03488372093023256,0.5337078604061207,0.03488372093023256,27,774,inclusion_column_source_to_target
ProgramCommitteeMember,addedBy,Administrator,ID,ProgramCommitteeMember_addedBy_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Review,ID,Document,ID,FKReviewURI,,,734,1468,734,1468,0.5,1.0,0.5,0.9232986960581567,0.734,734,1468,inclusion_column_source_to_target
Review,writtenBy,Person,ID,Review_writtenBy_fkey,,,477,774,477,774,0.6162790697674418,1.0,0.6162790697674418,0.401525198938992,0.6162790697674418,734,774,inclusion_column_source_to_target
assignReviewer,Administrator,Administrator,ID,FKassignReviewerAdministrator,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
assignReviewer,Reviewer,Person,ID,assignReviewer_Reviewer_fkey,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
assignedTo,Paper,Paper,ID,FKassignedToPaper,,,367,734,367,734,0.5,1.0,0.5,0.375,0.5,734,734,inclusion_column_source_to_target
assignedTo,Reviewer,Person,ID,assignedTo_Reviewer_fkey,,,477,774,477,774,0.6162790697674418,1.0,0.6162790697674418,0.401525198938992,0.6162790697674418,734,774,inclusion_column_source_to_target
co-writePaper,Paper,Paper,ID,FKco-writePaperPaper,,,367,734,367,734,0.5,1.0,0.5,0.3636701337295691,0.5,612,734,inclusion_column_source_to_target
co-writePaper,Co-author,Person,ID,co-writePaper_Co-author_fkey,,,402,774,402,774,0.5193798449612403,1.0,0.5193798449612403,0.3658008658008658,0.5193798449612403,612,774,inclusion_column_source_to_target
detailsEnteredBy,Administrator,Administrator,ID,FKdetailsEnteredByAdminis,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
detailsEnteredBy,Conference,Conference,ID,FKdetailsEnteredByConference,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
enableVirtualMeeting,Administrator,Administrator,ID,FKenableVirtualMeetingAdm,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
enableVirtualMeeting,Conference,Conference,ID,FKenableVirtualMeetingCon,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
endReview,ProgramCommitteeChair,ProgramCommitteeChair,ID,FKendReviewProgramCommitt,,,0,6,0,6,0.0,0.0,0.0,0.0,0.0,0,6,weak_or_conflicting
endReview,Review,Review,ID,FKendReviewReview,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
