source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
Abstract,ID,Conference_document,ID,IND,1.0,,367,1475,367,1475,0.2488135593220339,1.0,0.2488135593220339,0.5321872713972202,0.03325774754346183,367,1475,inclusion_column_source_to_target
Abstract,is_the_1th_part_of,Paper,ID,IND,1.0,,367,367,367,367,1.0,1.0,1.0,0.5,1.0,367,367,equivalence_column
Abstract,is_submitted_at,Conference_volume,ID,LLM_ONTOLOGY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Committee,was_a_program_committee_of,Conference_volume,ID,IND,1.0,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
Committee,has_a_committee_chair,Person,ID,LLM_ONTOLOGY,,high,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
Conference_proceedings,has_a_publisher,Publisher,ID,LLM_ONTOLOGY,,high,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Conference_volume,has_an_organizing_committ,Organizing_committee,ID,LLM_ONTOLOGY,,high,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Conference_volume,has_a_steering_committee,Steering_committee,ID,LLM_ONTOLOGY,,high,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Conference_volume,has_important_dates,Important_dates,ID,LLM_ONTOLOGY,,high,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Invited_talk,is_given_by,Person,ID,LLM_ONTOLOGY,,high,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
Invited_talk,has_an_abstract,Abstract,ID,LLM_ONTOLOGY,,high,0,367,0,367,0.0,0.0,0.0,0.0,0.0,0,367,weak_or_conflicting
Invited_talk,is_submitted_at,Conference_volume,ID,LLM_ONTOLOGY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Organizing_committee,ID,Committee,ID,LLM_EMPTY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Organizing_committee,was_an_organizing_committ,Conference_volume,ID,LLM_ONTOLOGY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Paper,ID,Conference_document,ID,IND,1.0,,367,1475,367,1475,0.2488135593220339,1.0,0.2488135593220339,0.7684711046086321,0.367,367,1475,inclusion_column_source_to_target
Paper,has_an_abstract,Abstract,ID,IND,1.0,,367,367,367,367,1.0,1.0,1.0,0.5,1.0,367,367,equivalence_column
Paper,is_submitted_at,Conference_volume,ID,IND,1.0,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,367,7,equivalence_column
Poster,has_an_abstract,Abstract,ID,LLM_ONTOLOGY,,high,0,367,0,367,0.0,0.0,0.0,0.0,0.0,0,367,weak_or_conflicting
Poster,is_submitted_at,Conference_volume,ID,LLM_ONTOLOGY,,medium,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Review,ID,Conference_document,ID,IND,1.0,,734,1475,734,1475,0.4976271186440678,1.0,0.4976271186440678,0.839677012090452,0.514410480349345,734,1475,inclusion_column_source_to_target
Review,reviews,Conference_document,ID,IND,1.0,,367,1475,367,1475,0.2488135593220339,1.0,0.2488135593220339,0.31747404844290655,0.367,734,1475,inclusion_column_source_to_target
Steering_committee,ID,Committee,ID,LLM_EMPTY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Steering_committee,was_a_steering_committee_,Conference_volume,ID,LLM_ONTOLOGY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Track,is_part_of_conference_vol,Conference_volume,ID,LLM_ONTOLOGY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Tutorial,is_part_of_conference_vol,Conference_volume,ID,LLM_ONTOLOGY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Workshop,is_part_of_conference_vol,Conference_volume,ID,LLM_ONTOLOGY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
belongs_to_reviewers,Reviewer,Person,ID,LLM_ONTOLOGY,,high,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
contributes,Person,Person,ID,IND,1.0,,774,774,774,774,1.0,1.0,1.0,0.3875422773393461,0.4844961240310077,1713,774,equivalence_column
contributes,Conference_document,Conference_document,ID,IND,1.0,,1101,1475,1101,1475,0.7464406779661017,1.0,0.7464406779661017,0.39925,0.6201696512723845,1713,1475,inclusion_column_source_to_target
has_a_committee_co-chair,Committee,Committee,ID,LLM_EMPTY,,high,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
has_a_committee_co-chair,Co-chair,Person,ID,LLM_ONTOLOGY,,high,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
has_a_track-workshop-tuto,Topic,Topic,ID,LLM_EMPTY,,high,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
has_an_email,Person,Person,ID,IND,1.0,,774,774,774,774,1.0,1.0,1.0,0.5,1.0,774,774,equivalence_column
has_members,Committee,Committee,ID,IND,1.0,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,38,7,equivalence_column
has_members,Committee_member,Person,ID,IND,1.0,,33,774,33,774,0.04263565891472868,1.0,0.04263565891472868,0.0437192118226601,0.04263565891472868,38,774,inclusion_column_source_to_target
invited_by,Reviewer1,Person,ID,LLM_ONTOLOGY,,high,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
invited_by,Reviewer2,Person,ID,LLM_ONTOLOGY,,high,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
