source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
abstracts,id,extended_abstracts,id,FKAbstractURI,,,367,367,367,367,1.0,1.0,1.0,1.0,1.0,367,367,equivalence_column
abstracts,th_part,conference_contributions,id,FKAbstractis_the_1th_part_of,,,367,734,367,734,0.5,1.0,0.5,0.3333333333333333,0.5,367,734,inclusion_column_source_to_target
accepted_contributions,id,reviewed_contributions,id,FKAccepted_contributionURI,,,0,367,0,367,0.0,0.0,0.0,0.0,0.0,0,367,weak_or_conflicting
active_conference_particis,id,conference_contributors,id,FKActive_conference_pa2,,,210,564,210,564,0.3723404255319149,1.0,0.3723404255319149,0.7713178294573644,0.3723404255319149,210,564,inclusion_column_source_to_target
active_conference_particis,id,conference_participants,id,FKActive_conference_particiURI,,,210,353,210,353,0.5949008498583569,1.0,0.5949008498583569,0.873001735544967,0.5949008498583569,210,353,inclusion_column_source_to_target
belongs_to_reviewers,reviewer,reviewers,id,FKbelongs_to_reviewersReviewer,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
call_for_papers,id,conference_documents,id,FKCall_for_paperURI,,,0,1475,0,1475,0.0,0.0,0.0,0.0,0.0,0,1475,weak_or_conflicting
call_for_participations,id,conference_documents,id,FKCall_for_participationURI,,,0,1475,0,1475,0.0,0.0,0.0,0.0,0.0,0,1475,weak_or_conflicting
camera_ready_contributions,id,accepted_contributions,id,FKCamera_ready_contributionURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
chairs,id,committee_members,id,FKChairURI,,,6,33,6,33,0.18181818181818182,1.0,0.18181818181818182,0.6538461355062631,0.18181818181818182,6,33,inclusion_column_source_to_target
co_chairs,id,committee_members,id,FKCo-chairURI,,,0,33,0,33,0.0,0.0,0.0,0.0,0.0,0,33,weak_or_conflicting
committee_co_chair,committee,committees,id,FKhas_a_committee_co-chai,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
committee_co_chair,co_chair,co_chairs,id,has_a_committee_co-cha2FK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
committee_committee_member,committee,committees,id,FKhas_membersCommittee,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,38,7,equivalence_column
committee_committee_member,committee_member,committee_members,id,FKhas_membersCommittee_member,,,33,33,33,33,1.0,1.0,1.0,0.5,1.0,38,33,equivalence_column
committee_members,id,persons,id,FKCommittee_memberURI,,,33,774,33,774,0.04263565891472868,1.0,0.04263565891472868,0.5408921933085502,0.04263565891472868,33,774,inclusion_column_source_to_target
