source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
Abstract,ID,Conference_document,ID,Abstract_ID_fkey,,,367,1475,367,1475,0.2488135593220339,1.0,0.2488135593220339,0.5321872713972202,0.03325774754346183,367,1475,inclusion_column_source_to_target
Abstract,is_submitted_at,Conference_volume,ID,Abstract_is_submitted_at_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Committee,was_a_program_committee_of,Conference_volume,ID,Committee_CHILD_DATA_was_a_program_committee_of_fkey,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
Committee,has_a_committee_chair,Person,ID,Committee_has_a_committee_chair_fkey,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
Conference_proceedings,has_a_publisher,Publisher,ID,FKConference_proceedingsh,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Conference_volume,has_a_program_committee,Committee,ID,Conference_volume_has_a_program_committee_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Conference_volume,has_a_steering_committee,Steering_committee,ID,Conference_volumehas_a2FK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Conference_volume,has_an_organizing_committ,Organizing_committee,ID,FKConference_volumehas_an,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Conference_volume,has_important_dates,Important_dates,ID,FKConference_volumehas_im,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Invited_talk,ID,Conference_document,ID,Invited_talk_ID_fkey,,,0,1475,0,1475,0.0,0.0,0.0,0.0,0.0,0,1475,weak_or_conflicting
Invited_talk,has_an_abstract,Abstract,ID,Invited_talk_has_an_abstract_fkey,,,0,367,0,367,0.0,0.0,0.0,0.0,0.0,0,367,weak_or_conflicting
Invited_talk,is_given_by,Person,ID,Invited_talk_is_given_by_fkey,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
Invited_talk,is_submitted_at,Conference_volume,ID,Invited_talk_is_submitted_at_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Organizing_committee,ID,Committee,ID,FKOrganizing_committeeURI,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Organizing_committee,was_an_organizing_committ,Conference_volume,ID,FKOrganizing_committeewas,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Paper,has_an_abstract,Abstract,ID,FKPaperhas_an_abstract,,,367,367,367,367,1.0,1.0,1.0,0.5,1.0,367,367,equivalence_column
Paper,ID,Conference_document,ID,Paper_ID_fkey,,,367,1475,367,1475,0.2488135593220339,1.0,0.2488135593220339,0.7684711046086321,0.367,367,1475,inclusion_column_source_to_target
Paper,is_submitted_at,Conference_volume,ID,Paper_is_submitted_at_fkey,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,367,7,equivalence_column
Poster,has_an_abstract,Abstract,ID,FKPosterhas_an_abstract,,,0,367,0,367,0.0,0.0,0.0,0.0,0.0,0,367,weak_or_conflicting
