source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
airport,city,city,name,airportrefscity,,,1216,3313,1216,3313,0.36703893751886507,1.0,0.36703893751886507,0.15958933023599772,0.17443249701314217,1278,3375,inclusion_column_source_to_target
airport,country,city,country,airportrefscity,,,232,244,232,244,0.9508196721311475,1.0,0.9508196721311475,0.7376436781609196,0.20673076923076922,1318,3375,equivalence_column
airport,province,city,province,airportrefscity,,,873,1565,873,1565,0.5578274760383387,1.0,0.5578274760383387,0.7277254333496094,0.21755725190839695,1278,3375,inclusion_column_source_to_target
airport,country,country,code,airportrefscountry,,,232,244,232,244,0.9508196721311475,1.0,0.9508196721311475,0.4811965811965812,0.8073770491803278,1318,244,equivalence_column
airport,island,island,name,airportrefsisland,,,167,298,167,298,0.5604026845637584,1.0,0.5604026845637584,0.39383376202508935,0.5671140939597316,279,298,inclusion_column_source_to_target
borders,country1,country,code,borders1ref,,,119,244,119,244,0.48770491803278687,1.0,0.48770491803278687,0.38555347091932457,0.48770491803278687,325,244,inclusion_column_source_to_target
borders,country2,country,code,borders2ref,,,129,244,129,244,0.5286885245901639,1.0,0.5286885245901639,0.4007285974499089,0.5286885245901639,325,244,inclusion_column_source_to_target
city,country,province,country,cityrefsprov,,,244,244,244,244,1.0,1.0,1.0,0.8741319444444444,0.4426229508196721,3375,1600,equivalence_column
city,province,province,name,cityrefsprov,,,1565,1576,1565,1576,0.993020304568528,1.0,0.993020304568528,0.39218843430504313,0.555667001003009,3375,1600,equivalence_column
country,capital,city,name,countryrefscap,,,242,3313,242,3313,0.07304557802595835,1.0,0.07304557802595835,0.056557595441882734,0.048986486486486486,243,3375,inclusion_column_source_to_target
country,code,city,country,countryrefscap,,,244,244,244,244,1.0,1.0,1.0,0.4094412331406551,0.22131147540983606,244,3375,equivalence_column
country,province,city,province,countryrefscap,,,240,1565,240,1565,0.15335463258785942,1.0,0.15335463258785942,0.5841122578922434,0.07442489851150202,243,3375,inclusion_column_source_to_target
economy,country,country,code,economyref,,,244,244,244,244,1.0,1.0,1.0,0.5,1.0,244,244,equivalence_column
encompasses,continent,continent,name,enccontref,,,5,5,5,5,1.0,1.0,1.0,0.4999999990613442,1.0,249,5,equivalence_column
encompasses,country,country,code,enccountryref,,,244,244,244,244,1.0,1.0,1.0,0.5,1.0,249,244,equivalence_column
ethnicgroup,country,country,code,relref,,,197,244,197,244,0.8073770491803278,1.0,0.8073770491803278,0.4738095238095238,0.8073770491803278,628,244,inclusion_column_source_to_target
geo_desert,desert,desert,name,gdesertref,,,62,62,62,62,1.0,1.0,1.0,0.5,1.0,171,62,equivalence_column
geo_desert,country,province,country,gdesertrefsprov,,,39,244,39,244,0.1598360655737705,1.0,0.1598360655737705,0.6939615736505031,0.15,171,1600,inclusion_column_source_to_target
