source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
acm_sigkdd_person,aid,acm_sigkdds,id,FKsearchACM_SIGKDD,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
acm_sigkdd_person,pid,persons,id,search_Sponzor_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
best_paper_awards_committs,award,best_research_paper_awards,id,Best_Paper_Awards_Committ_award_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
best_paper_awards_committs,committee,conferences,id,Best_Paper_Awards_Committ_hasCommittee_Inv_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
best_paper_awards_committs,cid,conferences,id,Best_Paper_Awards_Committ_isCommitteeOf_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
conferences,holded,acm_sigkdds,id,FKConferenceholded_by,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
deadline_abstract_submiss,designed,acm_sigkdds,id,Deadline_Abstract_Submiss_designed_by_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
document_deadline_abstract_submiss,document,documents,id,FKsubmit_untilDocument,,,0,1468,0,1468,0.0,0.0,0.0,0.0,0.0,0,1468,weak_or_conflicting
document_deadline_abstract_submiss,deadline,deadline_abstract_submiss,id,submit_until_Deadline_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
document_person,pid,persons,id,submit_Author_fkey,,,564,579,564,579,0.9740932642487047,1.0,0.9740932642487047,0.49518613607188705,0.9740932642487047,979,579,equivalence_column
document_person,did,documents,id,submit_Paper_fkey,,,367,1468,367,1468,0.25,1.0,0.25,0.34007074279939364,0.367,979,1468,inclusion_column_source_to_target
e_mails,person,persons,id,FKE-mailPerson,,,564,579,564,579,0.9740932642487047,1.0,0.9740932642487047,0.49343832020997375,0.9740932642487047,564,579,equivalence_column
main_office_person,pid,persons,id,FKcan_stay_inPerson,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
main_office_person,mid,main_offices,id,can_stay_in_Place_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
organizing_committees,cid,conferences,id,Organizing_Committee_hasCommittee_Inv_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
organizing_committees,committee,conferences,id,Organizing_Committee_isCommitteeOf_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
person_best_research_paper_award,pid,persons,id,obtain_Author_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
person_best_research_paper_award,bid,best_research_paper_awards,id,obtain_Award_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
person_deadline_abstract_submiss,pid,persons,id,notification_until_Author_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
person_deadline_abstract_submiss,did,deadline_abstract_submiss,id,notification_until_Deadline_Author_notificat_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
presentation,did,documents,id,FKpresentationDocument,,,0,1468,0,1468,0.0,0.0,0.0,0.0,0.0,0,1468,weak_or_conflicting
presentation,pid,persons,id,presentation_Speaker_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
program_committees,committee,conferences,id,Program_Committee_hasCommittee_Inv_fkey,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
program_committees,cid,conferences,id,Program_Committee_isCommitteeOf_fkey,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
registration_fee_person,pid,persons,id,FKpayPerson,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
registration_fee_person,rid,registration_fees,id,FKpayRegistration_fee,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
reviews,id,documents,id,FKReviewURI,,,734,1468,734,1468,0.5,1.0,0.5,0.7122260492978212,0.26939970717423134,734,1468,inclusion_column_source_to_target
reviews,ref,documents,id,FKReviewhasReview_Inv,,,367,1468,367,1468,0.25,1.0,0.25,0.31747404844290655,0.367,734,1468,inclusion_column_source_to_target
reviews,review,documents,id,FKReviewisReviewOf,,,367,1468,367,1468,0.25,1.0,0.25,0.31747404844290655,0.367,734,1468,inclusion_column_source_to_target
