source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
Best_Paper_Awards_Committ,award,Best_Research_Paper_Award,ID,Best_Paper_Awards_Committ_award_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Best_Paper_Awards_Committ,hasCommittee_Inv,Conference,ID,Best_Paper_Awards_Committ_hasCommittee_Inv_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Best_Paper_Awards_Committ,isCommitteeOf,Conference,ID,Best_Paper_Awards_Committ_isCommitteeOf_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Conference,holded_by,ACM_SIGKDD,ID,FKConferenceholded_by,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Deadline_Abstract_Submiss,designed_by,ACM_SIGKDD,ID,Deadline_Abstract_Submiss_designed_by_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
E-mail,Person,Person,ID,FKE-mailPerson,,,564,579,564,579,0.9740932642487047,1.0,0.9740932642487047,0.49343832020997375,0.9740932642487047,564,579,equivalence_column
Organizing_Committee,hasCommittee_Inv,Conference,ID,Organizing_Committee_hasCommittee_Inv_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Organizing_Committee,isCommitteeOf,Conference,ID,Organizing_Committee_isCommitteeOf_fkey,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
Program_Committee,hasCommittee_Inv,Conference,ID,Program_Committee_hasCommittee_Inv_fkey,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
Program_Committee,isCommitteeOf,Conference,ID,Program_Committee_isCommitteeOf_fkey,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
Review,ID,Document,ID,FKReviewURI,,,734,1468,734,1468,0.5,1.0,0.5,0.7122260492978212,0.26939970717423134,734,1468,inclusion_column_source_to_target
Review,hasReview_Inv,Document,ID,FKReviewhasReview_Inv,,,367,1468,367,1468,0.25,1.0,0.25,0.31747404844290655,0.367,734,1468,inclusion_column_source_to_target
Review,isReviewOf,Document,ID,FKReviewisReviewOf,,,367,1468,367,1468,0.25,1.0,0.25,0.31747404844290655,0.367,734,1468,inclusion_column_source_to_target
can_stay_in,Person,Person,ID,FKcan_stay_inPerson,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
can_stay_in,Place,Main_office,ID,can_stay_in_Place_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
notification_until,Author,Person,ID,notification_until_Author_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
notification_until,Deadline_Author_notificat,Deadline_Abstract_Submiss,ID,notification_until_Deadline_Author_notificat_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
obtain,Author,Person,ID,obtain_Author_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
obtain,Award,Best_Research_Paper_Award,ID,obtain_Award_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
pay,Person,Person,ID,FKpayPerson,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
pay,Registration_fee,Registration_fee,ID,FKpayRegistration_fee,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
presentation,Document,Document,ID,FKpresentationDocument,,,0,1468,0,1468,0.0,0.0,0.0,0.0,0.0,0,1468,weak_or_conflicting
presentation,Speaker,Person,ID,presentation_Speaker_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
search,ACM_SIGKDD,ACM_SIGKDD,ID,FKsearchACM_SIGKDD,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
search,Sponzor,Person,ID,search_Sponzor_fkey,,,0,579,0,579,0.0,0.0,0.0,0.0,0.0,0,579,weak_or_conflicting
submit,Author,Person,ID,submit_Author_fkey,,,564,579,564,579,0.9740932642487047,1.0,0.9740932642487047,0.49518613607188705,0.9740932642487047,979,579,equivalence_column
submit,Paper,Document,ID,submit_Paper_fkey,,,367,1468,367,1468,0.25,1.0,0.25,0.34007074279939364,0.367,979,1468,inclusion_column_source_to_target
submit_until,Document,Document,ID,FKsubmit_untilDocument,,,0,1468,0,1468,0.0,0.0,0.0,0.0,0.0,0,1468,weak_or_conflicting
submit_until,Deadline,Deadline_Abstract_Submiss,ID,submit_until_Deadline_fkey,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
