source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
Author,ID,Person,ID,AuthorURIFK,,,529,928,529,928,0.5700431034482759,1.0,0.5700431034482759,0.8630748112560055,0.5700431034482759,529,928,inclusion_column_source_to_target
Author,ID,User,ID,AuthorURIFK2,,,529,928,529,928,0.5700431034482759,1.0,0.5700431034482759,0.8630748112560055,0.5700431034482759,529,928,inclusion_column_source_to_target
Bid,adjustedBy,User,ID,LLM_ONTOLOGY,,high,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
Document,writtenBy,Person,ID,IND,1.0,,589,928,589,928,0.634698275862069,1.0,0.634698275862069,0.4047752808988764,0.634698275862069,852,928,inclusion_column_source_to_target
Paper,ID,Document,ID,PaperURIFK,,,426,1704,426,1704,0.25,1.0,0.25,0.8450323974082073,0.426,852,1704,inclusion_column_source_to_target
Paper,acceptedBy,User,ID,PaperacceptedByFK,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
Paper,hasAuthor,Author,ID,PaperhasAuthorFK,,,215,529,215,529,0.4064272211720227,1.0,0.4064272211720227,0.38631426502534394,0.4064272211720227,852,529,inclusion_column_source_to_target
Paper,hasDecision,Rejection,ID,PaperhasDecisionFK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
Paper,rejectedBy,User,ID,PaperrejectedByFK,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
Paper,Reviewer,Person,ID,reviewerIsPerson,,,589,928,589,928,0.634698275862069,1.0,0.634698275862069,0.4047752808988764,0.634698275862069,852,928,inclusion_column_source_to_target
Paper,Reviewer,User,ID,reviewerIsUser,,,589,928,589,928,0.634698275862069,1.0,0.634698275862069,0.4047752808988764,0.634698275862069,852,928,inclusion_column_source_to_target
Paper,readByMeta-Reviewer,User,ID,LLM_ONTOLOGY,,high,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
Person,ID,User,ID,IND,1.0,,928,928,928,928,1.0,1.0,1.0,1.0,1.0,928,928,equivalence_column
Person,assignedByReviewer,User,ID,LLM_ONTOLOGY,,medium,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
ProgramCommitteeChair,ID,Person,ID,ChairmanURIFK,,,8,928,8,928,0.008620689655172414,1.0,0.008620689655172414,0.5085470075281258,0.008620689655172414,8,928,inclusion_column_source_to_target
ProgramCommitteeChair,ID,ProgramCommitteeMember,ID,ProgramCommitteeChairURIFK2,,,8,43,8,43,0.18604651162790697,1.0,0.18604651162790697,0.6568627450980392,0.18604651162790697,8,43,inclusion_column_source_to_target
ProgramCommitteeMember,ID,Person,ID,ProgramCommitteeMemberURIFK,,,43,928,43,928,0.04633620689655173,1.0,0.04633620689655173,0.5442842430484037,0.04633620689655173,43,928,inclusion_column_source_to_target
ProgramCommitteeMember,addedBy,User,ID,ProgramCommitteeMemberadd,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
User,ID,Person,ID,UserURIFK,,,928,928,928,928,1.0,1.0,1.0,1.0,1.0,928,928,equivalence_column
assignReviewer,Administrator,User,ID,assignReviewerAdministratorFK,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
co-writePaper,Co-author,Author,ID,co-writePaperCo-authorFK,,,347,529,347,529,0.6559546313799622,1.0,0.6559546313799622,0.40471204188481674,0.6559546313799622,426,529,inclusion_column_source_to_target
co-writePaper,Paper,Document,ID,IND,1.0,,426,1704,426,1704,0.25,1.0,0.25,0.2987377065094123,0.426,426,1704,inclusion_column_source_to_target
detailsEnteredBy,Administrator,User,ID,detailsEnteredByAdministr,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
detailsEnteredBy,Conference,Conference,ID,detailsEnteredByConferenceFK,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
enableVirtualMeeting,Administrator,User,ID,enableVirtualMeetingAdmin,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
enableVirtualMeeting,Conference,Conference,ID,enableVirtualMeetingConfe,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
endReview,ProgramCommitteeChair,ProgramCommitteeChair,ID,endReviewProgramCommittee,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
endReview,Review,Document,ID,endReviewReviewFK,,,0,1704,0,1704,0.0,0.0,0.0,0.0,0.0,0,1704,weak_or_conflicting
enterReviewCriteria,Administrator,User,ID,enterReviewCriteriaAdmini,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
enterReviewCriteria,Conference,Conference,ID,enterReviewCriteriaConfer,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
finalizePaperAssignment,Administrator,User,ID,finalizePaperAssignmentAd,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
finalizePaperAssignment,Conference,Conference,ID,finalizePaperAssignmentCo,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
hardcopyMailingManifestsP,Conference,Conference,ID,hardcopyMailingManifestsP,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
hardcopyMailingManifestsP,Administrator,User,ID,hardcopyMailingManifestsPAd2FK,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
hasConferenceMember,Conference,Conference,ID,hasConferenceMemberConfer,,,8,8,8,8,1.0,1.0,1.0,0.5,1.0,284,8,equivalence_column
hasConferenceMember,ConferenceMember,Person,ID,IND,1.0,,258,928,258,928,0.27801724137931033,1.0,0.27801724137931033,0.2235973597359736,0.27801724137931033,284,928,inclusion_column_source_to_target
hasConflictOfInterest,Document,Document,ID,hasConflictOfInterestDocu,,,0,1704,0,1704,0.0,0.0,0.0,0.0,0.0,0,1704,weak_or_conflicting
hasConflictOfInterest,Person,Person,ID,hasConflictOfInterestPersonFK,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
hasProgramCommitteeMember,ProgramCommittee,ProgramCommittee,ID,hasProgramCommitteeMember,,,8,8,8,8,1.0,1.0,1.0,0.5,1.0,44,8,equivalence_column
hasProgramCommitteeMember,ProgramCommitteeMember,ProgramCommitteeMember,ID,IND,1.0,,43,43,43,43,1.0,1.0,1.0,0.5,1.0,44,43,equivalence_column
hasSubjectArea,SubjectArea,SubjectArea,ID,hasSubjectAreaSubjectAreaFK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
paperAssignmentToolsRunBy,Conference,Conference,ID,paperAssignmentToolsRunBy,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
paperAssignmentToolsRunBy,Administrator,User,ID,paperAssignmentToolsRunByAd2FK,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
reviewerBiddingStartedBy,Administrator,User,ID,reviewerBiddingStartedByA,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
reviewerBiddingStartedBy,Conference,Conference,ID,reviewerBiddingStartedByC,,,0,8,0,8,0.0,0.0,0.0,0.0,0.0,0,8,weak_or_conflicting
setMaxPapers,Administrator,User,ID,setMaxPapersAdministratorFK,,,0,928,0,928,0.0,0.0,0.0,0.0,0.0,0,928,weak_or_conflicting
setMaxPapers,ProgramCommitteeMember,ProgramCommitteeMember,ID,LLM_EMPTY,,high,0,43,0,43,0.0,0.0,0.0,0.0,0.0,0,43,weak_or_conflicting
submitPaper,Author,Author,ID,submitPaperAuthorFK,,,0,529,0,529,0.0,0.0,0.0,0.0,0.0,0,529,weak_or_conflicting
