source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
acceptances,id,decisions,id,FKAcceptanceURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
administrator_conference,aid,administrators,id,FKenterReviewCriteriaAdmi,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
administrator_conference,cid,conferences,id,FKenterReviewCriteriaConf,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
administrators,id,users,id,FKAdministratorURI,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
administrators,accept_paper,papers,id,FKAdministratoracceptPaper,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
associated_chairs,id,chairmans,id,FKAssociatedChairURI,,,0,6,0,6,0.0,0.0,0.0,0.0,0.0,0,6,weak_or_conflicting
author_not_reviewers,id,authors,id,FKAuthorNotReviewerURI,,,0,564,0,564,0.0,0.0,0.0,0.0,0.0,0,564,weak_or_conflicting
authors,id,conf_members,id,FKAuthorURI,,,564,774,564,774,0.7286821705426356,1.0,0.7286821705426356,0.92152466367713,0.7286821705426356,564,774,inclusion_column_source_to_target
authors,id,users,id,FKAuthorURI2,,,564,774,564,774,0.7286821705426356,1.0,0.7286821705426356,0.92152466367713,0.7286821705426356,564,774,inclusion_column_source_to_target
bids,adjusted,reviewers,id,FKBidadjustedBy,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
bids,bid,papers,id,FKBidhasBid_Inv,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
chairmans,id,conf_members,id,FKChairmanURI,,,6,774,6,774,0.007751937984496124,1.0,0.007751937984496124,0.5076923067753132,0.007751937984496124,6,774,inclusion_column_source_to_target
co_author_paper,cid,co_authors,id,FKco-writePaperCo-author,,,402,402,402,402,1.0,1.0,1.0,0.5,1.0,612,402,equivalence_column
co_author_paper,pid,papers,id,FKco-writePaperPaper,,,367,734,367,734,0.5,1.0,0.5,0.3636701337295691,0.5,612,734,inclusion_column_source_to_target
co_authors,id,authors,id,FKCo-authorURI,,,402,564,402,564,0.7127659574468085,1.0,0.7127659574468085,0.9161490209354377,0.7127659574468085,402,564,inclusion_column_source_to_target
conf_members,id,persons,id,FKConferenceMemberURI,,,774,774,774,774,1.0,1.0,1.0,1.0,1.0,774,774,equivalence_column
conference_administrator,cid,conferences,id,FKreviewerBiddingStartedB,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
conference_administrator,aid,administrators,id,reviewerBiddingStarted2FK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
conference_chairs,id,chairmans,id,FKConferenceChairURI,,,0,6,0,6,0.0,0.0,0.0,0.0,0.0,0,6,weak_or_conflicting
conference_members,conference,conferences,id,FKhasConferenceMemberConf,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,245,7,equivalence_column
details_entered,aid,administrators,id,FKdetailsEnteredByAdminis,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
details_entered,cid,conferences,id,FKdetailsEnteredByConference,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
enable_virtual_meeting,aid,administrators,id,FKenableVirtualMeetingAdm,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
enable_virtual_meeting,cid,conferences,id,FKenableVirtualMeetingCon,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
external_reviewers,id,persons,id,FKExternalReviewerURI,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
external_reviewers,assigned_by_reviewer,reviewers,id,FKExternalReviewerassigne,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
finalize_paper_assignment,aid,administrators,id,FKfinalizePaperAssignment,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
finalize_paper_assignment,cid,conferences,id,finalizePaperAssignmen2FK,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
hardcopy_mailing_manifests_p,cid,conferences,id,FKhardcopyMailingManifest,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
hardcopy_mailing_manifests_p,aid,administrators,id,hardcopyMailingManifes2FK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
mark_conflict_interests,paper,papers,id,FKmarkConflictOfInterestPaper,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
meta_reviewers,id,reviewers,id,FKMeta-ReviewerURI,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
meta_reviews,id,reviews,id,FKMeta-ReviewURI,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
paper_abstracts,id,papers,id,FKPaperAbstractURI,,,367,734,367,734,0.5,1.0,0.5,0.8333333333333333,0.5,367,734,inclusion_column_source_to_target
paper_assignment_tools_run,cid,conferences,id,FKpaperAssignmentToolsRun,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
paper_assignment_tools_run,aid,administrators,id,paperAssignmentToolsRu2FK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
paper_author,aid,authors,id,FKsubmitPaperAuthor,,,0,564,0,564,0.0,0.0,0.0,0.0,0.0,0,564,weak_or_conflicting
paper_author,pid,papers,id,FKsubmitPaperPaper,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
paper_full_versions,id,papers,id,FKPaperFullVersionURI,,,367,734,367,734,0.5,1.0,0.5,0.8333333333333333,0.5,367,734,inclusion_column_source_to_target
paper_reviewer,pid,papers,id,FKassignedToPaper,,,367,734,367,734,0.5,1.0,0.5,0.375,0.5,734,734,inclusion_column_source_to_target
paper_reviewer,rid,reviewers,id,FKassignedToReviewer,,,477,477,477,477,1.0,1.0,1.0,0.5,1.0,734,477,equivalence_column
paper_subject_area,pid,papers,id,FKhasSubjectAreaPaper,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
paper_subject_area,sid,subject_areas,id,FKhasSubjectAreaSubjectArea,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
papers,id,documents,id,FKPaperURI,,,734,1468,734,1468,0.5,1.0,0.5,0.6534025110862934,0.18119891008174388,734,1468,inclusion_column_source_to_target
papers,accepted,administrators,id,FKPaperacceptedBy,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
papers,author,authors,id,FKPaperhasAuthor,,,162,564,162,564,0.2872340425531915,1.0,0.2872340425531915,0.2841031149301826,0.2872340425531915,367,564,inclusion_column_source_to_target
papers,decision,decisions,id,FKPaperhasDecision,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
papers,read_by_meta_reviewer,meta_reviewers,id,FKPaperreadByMeta-Reviewer,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
papers,rejected,administrators,id,FKPaperrejectedBy,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
pc_members,id,conf_members,id,FKProgramCommitteeMemberURI,,,33,774,33,774,0.04263565891472868,1.0,0.04263565891472868,0.5408921933085502,0.04263565891472868,33,774,inclusion_column_source_to_target
pc_members,added,administrators,id,FKProgramCommitteeMembera,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
person_document,did,documents,id,FKhasConflictOfInterestDo,,,0,1468,0,1468,0.0,0.0,0.0,0.0,0.0,0,1468,weak_or_conflicting
person_document,pid,persons,id,FKhasConflictOfInterestPerson,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
program_committee_chair_review,pid,program_committee_chairs,id,FKendReviewProgramCommitt,,,0,6,0,6,0.0,0.0,0.0,0.0,0.0,0,6,weak_or_conflicting
program_committee_chair_review,rid,reviews,id,FKendReviewReview,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
program_committee_chairs,id,chairmans,id,FKProgramCommitteeChairURI,,,6,6,6,6,1.0,1.0,1.0,0.9999999602635701,1.0,6,6,equivalence_column
