source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
abstracts,id,documents,id,FKAbstractURI,,,367,1468,367,1468,0.25,1.0,0.25,0.7684711046086321,0.367,367,1468,inclusion_column_source_to_target
author_deadline_author_notificat,aid,authors,id,FKnotification_untilAuthor,,,0,564,0,564,0.0,0.0,0.0,0.0,0.0,0,564,weak_or_conflicting
author_deadline_author_notificat,did,deadline_author_notificats,id,FKnotification_untilDeadl,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
author_paper_students,id,authors,id,FKAuthor_of_paper_studentURI,,,227,564,227,564,0.4024822695035461,1.0,0.4024822695035461,0.7869785082174463,0.4024822695035461,227,564,inclusion_column_source_to_target
author_papers,id,authors,id,FKAuthor_of_paperURI,,,0,564,0,564,0.0,0.0,0.0,0.0,0.0,0,564,weak_or_conflicting
authors,id,speakers,id,FKAuthorURI,,,564,564,564,564,1.0,1.0,1.0,1.0,1.0,564,564,equivalence_column
award_author,author,authors,id,FKobtainAuthor,,,0,564,0,564,0.0,0.0,0.0,0.0,0.0,0,564,weak_or_conflicting
award_author,award,awards,id,FKobtainAward,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
best_applications_paper_as,id,awards,id,FKBest_Applications_Paper_AURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
best_paper_awards_committs,award,awards,id,FKBest_Paper_Awards_Commi,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
best_paper_awards_committs,id,committees,id,FKBest_Paper_Awards_CommittURI,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
best_research_paper_awards,id,awards,id,FKBest_Research_Paper_AwardURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
best_student_paper_awards,id,awards,id,FKBest_Student_Paper_AwardURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
best_student_paper_suppors,id,sponzors,id,FKBest_Student_Paper_SupporURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
bronze_supporters,id,sponzors,id,FKBronze_SupporterURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
committees,ref,conferences,id,FKCommitteehasCommittee_Inv,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
committees,committee,conferences,id,FKCommitteeisCommitteeOf,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,7,7,equivalence_column
conference_halls,id,places,id,FKConference_hallURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
conferences,holded,acm_sigkdds,id,FKConferenceholded_by,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
deadline_abstract_submiss,id,deadlines,id,FKDeadline_Abstract_SubmissURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
deadline_author_notificats,id,deadlines,id,FKDeadline_Author_notificatURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
deadline_document,deadline,deadlines,id,FKsubmit_untilDeadline,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
deadline_document,document,documents,id,FKsubmit_untilDocument,,,0,1468,0,1468,0.0,0.0,0.0,0.0,0.0,0,1468,weak_or_conflicting
deadline_paper_submissions,id,deadlines,id,FKDeadline_Paper_SubmissionURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
deadlines,designed,acm_sigkdds,id,FKDeadlinedesigned_by,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
e_mails,person,persons,id,FKE-mailPerson,,,564,579,564,579,0.9740932642487047,1.0,0.9740932642487047,0.49343832020997375,0.9740932642487047,564,579,equivalence_column
exhibitors,id,sponzors,id,FKExhibitorURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
general_chairs,id,organizators,id,FKGeneral_ChairURI,,,0,33,0,33,0.0,0.0,0.0,0.0,0.0,0,33,weak_or_conflicting
gold_supporters,id,sponzors,id,FKGold_SupporterURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
hotels,id,places,id,FKHotelURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
invited_speakers,id,speakers,id,FKInvited_SpeakerURI,,,0,564,0,564,0.0,0.0,0.0,0.0,0.0,0,564,weak_or_conflicting
listeners,id,persons,id,FKListenerURI,,,143,579,143,579,0.2469775474956822,1.0,0.2469775474956822,0.6980609418282548,0.2469775474956822,143,579,inclusion_column_source_to_target
main_offices,id,places,id,FKMain_officeURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
organizators,id,persons,id,FKOrganizatorURI,,,33,579,33,579,0.05699481865284974,1.0,0.05699481865284974,0.553921568627451,0.05699481865284974,33,579,inclusion_column_source_to_target
organizing_committee_membs,id,organizators,id,FKOrganizing_Committee_membURI,,,0,33,0,33,0.0,0.0,0.0,0.0,0.0,0,33,weak_or_conflicting
organizing_committees,id,committees,id,FKOrganizing_CommitteeURI,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
paper_author,aid,authors,id,FKsubmitAuthor,,,564,564,564,564,1.0,1.0,1.0,0.5,1.0,979,564,equivalence_column
paper_author,pid,papers,id,FKsubmitPaper,,,367,367,367,367,1.0,1.0,1.0,0.5,1.0,979,367,equivalence_column
papers,id,documents,id,FKPaperURI,,,367,1468,367,1468,0.25,1.0,0.25,0.6082662765179224,0.1214109926168991,367,1468,inclusion_column_source_to_target
